Date,Open,High,Low,Close,Volume,Currency
2021-10-19,485.0,497.4,481.1,488.1,1013128,USD
2021-10-20,488.1,505.62,482.35,501.11,1052136,USD
2021-10-21,501.3,504.79,467.26,471.1,2019983,USD
2021-10-22,470.92,497.89,470.92,478.83,1232996,USD
2021-10-23,478.83,485.41,472.91,485.41,597101,USD
2021-10-24,485.41,486.42,468.02,475.8,668746,USD
2021-10-25,475.7,488.58,474.82,484.91,720338,USD
2021-10-26,484.91,489.58,474.17,478.01,795251,USD
2021-10-27,478.02,486.29,438.55,448.69,1507926,USD
2021-10-28,448.7,494.69,446.6,492.09,1686915,USD
2021-10-29,492.09,533.6,488.99,529.52,1574792,USD
2021-10-30,529.61,540.31,512.18,528.2,1191890,USD
2021-10-31,528.2,534.89,509.32,524.46,1157586,USD
2021-11-01,524.65,551.91,511.74,551.53,1441089,USD
2021-11-02,551.5,563.7,537.62,554.28,1281522,USD
2021-11-03,554.28,569.87,537.61,568.4,1383087,USD
2021-11-04,568.48,568.69,543.82,559.16,1148632,USD
2021-11-05,558.7,614.61,554.42,607.31,2115466,USD
2021-11-06,607.31,636.3,595.99,636.3,1425781,USD
2021-11-07,636.3,668.8,630.91,649.5,1544808,USD
2021-11-08,649.5,655.49,631.7,653.79,1352574,USD
2021-11-09,653.79,656.68,632.11,634.24,930878,USD
2021-11-10,634.9,662.6,575.72,614.81,1890641,USD
2021-11-11,614.8,634.8,606.01,628.8,1068661,USD
2021-11-12,627.91,634.5,603.9,626.91,1068096,USD
2021-11-13,626.92,654.7,620.8,649.5,944982,USD
2021-11-14,649.5,660.2,634.81,650.8,987159,USD
2021-11-15,650.8,659.2,631.3,633.51,992200,USD
2021-11-16,633.81,634.51,574.03,588.91,2299833,USD
2021-11-17,588.91,592.5,554.64,578.31,1550714,USD
2021-11-18,578.3,587.9,517.13,532.56,1823157,USD
2021-11-19,531.89,585.39,524.7,581.09,1384483,USD
2021-11-20,581.0,604.7,573.58,604.28,1179191,USD
2021-11-21,604.28,604.91,580.11,585.14,1029400,USD
2021-11-22,585.14,585.14,554.3,559.69,1200886,USD
2021-11-23,559.69,604.8,558.3,591.3,1260820,USD
2021-11-24,591.1,593.89,577.4,590.61,1139443,USD
2021-11-25,590.61,646.51,587.72,638.79,1616982,USD
2021-11-26,639.17,657.7,564.63,584.96,2538132,USD
2021-11-27,587.62,621.19,584.3,600.3,1266288,USD
2021-11-28,600.3,612.57,573.96,611.61,1362603,USD
2021-11-29,611.58,628.62,601.99,623.61,1150480,USD
2021-11-30,623.6,634.52,603.71,623.23,1461604,USD
2021-12-01,621.51,649.59,618.72,627.32,1463016,USD
2021-12-02,627.32,629.72,605.61,620.21,1169061,USD
2021-12-03,620.21,627.8,576.78,594.62,1332563,USD
2021-12-04,594.62,595.9,495.12,568.62,2711012,USD
2021-12-05,568.6,581.81,542.72,557.6,1295504,USD
2021-12-06,557.61,592.61,533.3,588.59,2157865,USD
2021-12-07,588.59,593.41,572.3,578.7,1111410,USD
2021-12-08,578.69,607.49,567.51,606.9,1219782,USD
2021-12-09,606.9,616.24,567.92,570.78,1204687,USD
2021-12-10,570.77,594.92,551.46,552.53,1193945,USD
2021-12-11,552.53,572.16,542.33,563.24,1015471,USD
2021-12-12,563.24,574.01,559.51,570.51,594615,USD
2021-12-13,570.51,572.11,512.07,520.88,1113184,USD
2021-12-14,520.88,535.68,510.21,528.3,1371235,USD
2021-12-15,528.3,546.23,502.09,541.1,1232925,USD
2021-12-16,541.1,545.02,525.3,526.01,777270,USD
2021-12-17,526.01,535.42,511.3,525.9,959710,USD
2021-12-18,525.9,537.69,516.7,534.2,614599,USD
2021-12-19,534.19,544.21,527.51,529.9,575843,USD
2021-12-20,529.9,534.59,506.31,523.31,767188,USD
2021-12-21,523.34,535.19,517.51,528.5,705939,USD
2021-12-22,528.5,544.5,527.4,533.43,778933,USD
2021-12-23,533.43,552.31,524.73,548.7,897972,USD
