Date,Open,High,Low,Close,Volume,Currency
2021-10-26,63067.5,63275.1,59907.3,60310.8,57131,USD
2021-10-27,60312.5,61452.9,58112.6,58438.1,88112,USD
2021-10-28,58437.2,62251.3,58128.1,60582.5,88470,USD
2021-10-29,60579.9,62952.2,60322.2,62242.8,63388,USD
2021-10-30,62245.0,62338.5,60786.0,61840.1,40507,USD
2021-10-31,61842.2,62393.7,60005.7,61309.6,50062,USD
2021-11-01,61310.1,62430.1,59612.7,60915.3,61214,USD
2021-11-02,60912.2,64256.4,60651.5,63221.7,65261,USD
2021-11-03,63223.5,63508.6,60883.0,62918.5,61054,USD
2021-11-04,62915.4,63077.6,60742.9,61412.6,49911,USD
2021-11-05,61411.5,62560.3,60742.4,60974.3,44455,USD
2021-11-06,60973.2,61543.2,60093.6,61483.9,34887,USD
2021-11-07,61483.8,63273.2,61347.2,63273.2,34339,USD
2021-11-08,63276.4,67763.3,63276.4,67527.9,81082,USD
2021-11-09,67528.7,68493.3,66334.9,66904.4,66128,USD
2021-11-10,66942.6,68990.6,62951.3,64932.6,96213,USD
2021-11-11,64922.8,65583.3,64121.9,64806.7,50372,USD
2021-11-12,64782.6,65449.7,62309.7,64134.5,63271,USD
2021-11-13,64133.3,64906.0,63381.4,64398.6,30337,USD
2021-11-14,64397.2,65508.2,63608.3,65508.2,33976,USD
2021-11-15,65514.9,66311.2,63439.5,63597.9,53532,USD
2021-11-16,63605.1,63605.6,58655.9,60089.1,115357,USD
2021-11-17,60074.2,60814.5,58531.9,60367.8,73929,USD
2021-11-18,60368.2,60936.9,56524.4,56955.3,100370,USD
2021-11-19,56908.3,58335.9,55626.3,58083.4,74438,USD
2021-11-20,58080.8,59854.6,57435.3,59717.6,44534,USD
2021-11-21,59724.0,60002.6,58528.3,58714.3,40977,USD
2021-11-22,58719.7,59288.3,55656.8,56308.8,76450,USD
2021-11-23,56304.8,57855.1,55542.5,57573.2,72483,USD
2021-11-24,57559.4,57697.4,55910.6,57171.7,56681,USD
2021-11-25,57167.1,59387.3,57029.8,58935.1,56791,USD
2021-11-26,58937.3,59151.1,53533.5,53730.9,104034,USD
2021-11-27,53747.2,55280.3,53654.3,54765.9,40706,USD
2021-11-28,54758.0,57392.3,53448.3,57291.5,49283,USD
2021-11-29,57288.1,58855.2,56726.7,57794.8,58647,USD
